image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
66.414.808,46.314.523,6.647.929,2.200.925,364.890
66.391.922,46.874.319,6.638.711,2.160.646,380.760
66.448.791,46.262.749,6.662.464,2.175.449,384.028
66.401.010,46.368.415,6.644.318,2.189.820,370.826
image_name:kodim11,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
62.882.578,45.529.555,5.266.932,2.097.040,387.655
62.756.726,44.367.790,5.235.755,2.196.052,367.371
62.726.320,43.488.168,5.224.857,2.168.878,354.807
62.808.364,44.560.763,5.244.822,2.194.097,366.874
62.733.498,43.835.492,5.227.294,2.135.339,353.334
62.752.150,44.387.428,5.235.414,2.191.235,366.279
62.762.225,43.869.081,5.231.619,2.170.303,358.739
62.806.549,46.278.505,5.244.885,2.173.307,377.236
62.887.565,43.950.679,5.255.749,2.156.047,355.197
62.761.075,44.676.580,5.236.548,2.187.818,368.112
image_name:kodim12,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
62.892.346,44.046.646,5.276.755,2.202.424,364.690
62.779.036,45.102.786,5.230.394,2.200.878,370.419
62.785.937,43.669.958,5.244.666,2.142.181,350.154
62.805.292,44.004.017,5.247.737,2.173.792,357.610
62.839.452,44.593.292,5.264.836,2.155.565,356.963
62.851.569,44.005.364,5.266.769,2.172.788,358.273
62.861.119,43.927.138,5.267.309,2.168.075,358.534
62.838.597,44.127.552,5.254.251,2.114.286,366.248
62.860.556,44.538.369,5.268.203,2.184.325,355.524
62.844.141,44.200.386,5.256.199,2.146.728,359.857
image_name:kodim13,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
62.881.422,44.726.551,5.261.854,2.125.299,362.840
62.710.729,44.864.661,5.218.191,2.187.307,362.517
62.805.733,43.930.391,5.249.033,2.153.333,362.371
62.704.938,44.336.930,5.217.139,2.152.928,362.701
62.809.904,44.723.075,5.250.132,2.165.053,359.750
62.789.850,44.038.452,5.236.356,2.174.435,358.315
62.811.161,44.610.736,5.249.852,2.145.109,357.462
62.728.780,44.669.461,5.226.601,2.118.569,358.943
62.824.203,44.624.373,5.251.851,2.152.842,376.793
62.799.650,43.716.913,5.238.623,2.173.525,369.460
image_name:kodim14,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
62.801.951,44.643.616,5.247.475,2.149.747,365.563
62.743.264,43.864.845,5.228.321,2.193.913,362.238
62.790.408,43.872.925,5.246.480,2.165.942,355.182
62.748.358,44.013.628,5.229.351,2.206.860,363.298
62.795.807,44.490.946,5.247.521,2.175.200,361.128
62.747.233,44.034.843,5.229.408,2.190.570,365.020
62.795.719,44.093.253,5.246.844,2.177.063,359.302
62.696.951,43.893.694,5.220.005,2.159.654,362.575
62.801.680,44.245.514,5.247.984,2.190.041,362.513
62.740.900,44.310.581,5.228.293,2.188.183,364.883
image_name:kodim15,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
62.790.169,44.918.698,5.239.944,2.216.811,378.833
62.795.632,45.365.357,5.231.190,2.162.012,374.642
62.765.080,45.395.325,5.237.306,2.208.155,374.229
62.771.351,44.731.112,5.237.077,2.237.066,373.628
62.738.973,44.328.367,5.227.645,2.109.961,385.522
62.735.246,46.043.719,5.226.690,2.153.205,409.589
62.744.765,45.353.180,5.232.991,2.161.300,394.546
62.769.961,45.513.233,5.233.253,2.140.952,383.657
63.586.924,50.962.210,5.390.248,2.156.980,411.975
63.425.284,49.358.274,5.344.597,2.126.776,426.294
image_name:kodim16,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
62.814.262,45.956.346,5.240.353,2.180.217,398.349
62.934.621,59.381.928,5.257.460,2.145.853,432.079
62.771.788,51.663.747,5.233.109,2.116.051,400.464
62.766.361,48.612.826,5.232.954,2.094.535,394.117
62.852.125,51.507.290,5.242.449,2.142.830,420.451
62.776.590,49.042.760,5.233.886,2.099.872,396.553
62.747.933,49.890.659,5.224.487,2.151.346,394.105
62.807.328,53.021.327,5.244.014,2.049.853,427.663
62.848.154,52.725.120,5.245.939,2.092.475,417.849
62.781.168,46.475.312,5.238.720,2.155.827,402.487
image_name:kodim17,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses
66.572.853,46.513.896,6.694.436,2.158.467,386.349
66.420.876,46.475.846,6.648.500,2.174.126,366.573
66.400.855,47.140.133,6.654.014,2.127.276,409.956
66.414.423,46.786.384,6.646.288,2.183.730,380.796
66.458.004,47.407.322,6.664.678,2.170.643,396.004
66.447.067,46.305.183,6.653.801,2.178.386,372.000
66.411.087,46.335.116,6.655.619,2.211.395,374.359
66.452.209,48.569.133,6.644.971,2.157.602,414.231
66.478.147,47.647.061,6.663.213,2.170.772,400.358
66.417.398,47.156.252,6.638.579,2.208.960,390.501
image_name:kodim18,"image_size(width,height):(512, 768)"
