image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
63.602.084,46.095.754,5.407.725,2.170.137,400.390,"0,013996889"
67.907.420,47.750.014,6.278.475,2.224.229,385.261,"0,014575688"
67.276.140,67.360.189,6.142.587,2.083.686,437.449,"0,020954925"
67.129.788,54.603.400,6.118.509,2.156.286,436.859,"0,017682276"
image_name:kodim9,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
70.762.811,50.239.049,7.526.554,2.185.121,409.680,"0,015634880"
71.438.918,53.025.392,7.663.299,2.602.563,464.624,"0,015876432"
66.320.822,46.579.091,6.620.673,2.215.459,384.908,"0,013982026"
66.419.813,48.288.592,6.638.249,2.196.388,397.064,"0,014698399"
66.479.216,47.264.587,6.658.648,2.189.705,390.911,"0,014693435"
66.374.389,47.275.520,6.639.906,2.199.840,380.457,"0,014189511"
71.026.155,53.229.528,7.576.357,2.170.418,431.338,"0,017357359"
66.383.793,47.362.096,6.641.478,2.167.847,410.052,"0,014509756"
68.364.756,47.262.408,7.043.920,2.173.711,383.929,"0,014452846"
68.320.591,47.599.104,7.036.118,2.185.514,376.175,"0,014897762"
image_name:kodim10,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
68.961.731,64.499.300,7.142.141,2.172.007,445.733,"0,020218794"
66.476.110,60.048.540,6.657.965,2.116.971,435.348,"0,019449296"
69.021.621,60.970.594,7.152.989,2.132.447,428.399,"0,019005546"
66.494.251,57.386.546,6.665.464,2.162.961,442.374,"0,018097363"
66.557.707,60.512.764,6.676.681,2.128.961,435.727,"0,020580542"
68.170.008,58.304.794,6.984.321,2.055.828,443.946,"0,018708423"
68.264.728,64.257.758,7.016.912,2.136.964,452.698,"0,020696217"
66.496.264,61.904.448,6.661.287,2.038.907,448.276,"0,019681142"
70.854.606,64.175.513,7.518.699,2.268.607,450.713,"0,020115650"
66.516.276,55.389.654,6.669.479,2.108.873,428.064,"0,018046333"
image_name:kodim11,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
67.694.929,48.756.618,6.207.694,2.102.399,390.189,"0,015486115"
67.143.071,48.905.243,6.099.048,2.112.620,416.502,"0,015248755"
67.135.004,49.879.049,6.097.169,2.070.307,386.928,"0,015580411"
67.121.435,48.394.342,6.094.600,2.115.475,399.974,"0,015052222"
62.831.317,47.869.884,5.252.895,2.151.822,398.700,"0,014799243"
67.113.342,46.545.135,6.093.311,2.105.968,374.891,"0,013513502"
67.123.219,47.045.587,6.096.098,2.127.266,385.570,"0,014580398"
64.291.761,45.616.238,5.536.846,2.191.422,373.313,"0,013980061"
62.813.321,45.263.417,5.250.367,2.200.310,378.221,"0,013717861"
62.866.398,49.807.991,5.259.735,2.202.171,393.414,"0,015242643"
image_name:kodim12,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
67.168.525,48.594.487,6.107.242,2.152.511,398.919,"0,014810391"
62.730.558,45.487.413,5.216.205,2.198.988,378.608,"0,013786003"
67.161.508,45.744.745,6.106.083,2.138.624,374.598,"0,013832108"
65.259.623,46.349.297,5.729.345,2.203.046,379.375,"0,014094434"
62.709.076,44.768.305,5.212.846,2.202.730,378.890,"0,013490959"
67.171.833,46.779.852,6.108.236,2.232.056,370.370,"0,014477610"
65.556.029,47.633.221,5.787.931,2.139.090,395.842,"0,015271409"
62.671.536,45.070.180,5.205.058,2.232.768,373.028,"0,013795166"
67.061.087,46.503.235,6.082.154,2.178.595,377.457,"0,013488170"
67.093.861,46.407.968,6.094.235,2.119.419,384.871,"0,014097722"
image_name:kodim13,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
67.057.890,47.119.023,6.084.955,2.170.369,374.453,"0,014434045"
62.711.335,45.266.478,5.213.107,2.185.557,376.342,"0,014300629"
66.949.098,47.704.834,6.057.589,2.210.157,373.404,"0,014565861"
66.884.179,46.948.652,6.046.728,2.187.024,373.122,"0,014594522"
66.911.648,47.754.835,6.051.820,2.189.014,378.734,"0,014928356"
65.383.660,47.849.097,5.754.138,2.118.838,393.009,"0,014951300"
65.297.013,45.635.282,5.737.642,2.129.702,365.612,"0,013985460"
65.294.054,45.696.839,5.741.784,2.151.029,377.002,"0,013735812"
62.746.153,45.042.311,5.219.105,2.199.080,374.131,"0,013677321"
66.870.120,47.330.887,6.047.529,2.195.262,379.577,"0,014699119"
image_name:kodim14,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
62.733.346,45.529.210,5.217.567,2.157.096,386.045,"0,013767014"
66.458.096,46.238.248,5.969.127,2.145.911,367.470,"0,013658231"
65.982.295,46.691.538,5.871.814,2.235.137,374.034,"0,014253301"
62.736.141,44.653.948,5.219.071,2.198.373,375.461,"0,013236040"
67.544.040,48.854.504,6.188.049,2.150.830,413.730,"0,014812897"
67.193.078,46.795.760,6.117.238,2.187.361,376.444,"0,014022155"
62.744.251,45.858.008,5.219.345,2.217.913,373.555,"0,013305893"
65.912.711,48.013.941,5.856.751,2.165.462,395.744,"0,014753347"
62.730.166,44.870.296,5.224.491,2.206.624,386.721,"0,013551413"
62.759.147,45.152.116,5.231.407,2.209.695,377.825,"0,013565301"
image_name:kodim15,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
62.818.007,45.887.919,5.240.481,2.181.819,383.461,"0,014420032"
62.789.562,45.302.612,5.228.487,2.191.325,370.748,"0,013849559"
62.752.569,44.872.454,5.229.023,2.202.908,377.100,"0,013456282"
66.378.065,48.577.776,5.960.483,2.171.071,373.995,"0,015012988"
62.785.020,45.013.264,5.235.289,2.199.873,377.140,"0,013745528"
65.995.630,46.544.474,5.877.765,2.156.152,370.022,"0,014335060"
67.122.096,47.452.419,6.103.683,2.190.656,383.910,"0,014664632"
62.958.304,45.412.622,5.262.883,2.210.991,379.858,"0,013806642"
66.348.697,46.657.929,5.947.021,2.186.216,360.631,"0,014251294"
66.391.779,48.166.045,5.955.004,2.118.267,394.105,"0,015117074"
image_name:kodim16,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
63.908.416,48.753.511,5.463.620,2.150.505,410.798,"0,015153684"
63.149.775,48.185.047,5.304.961,2.131.423,418.927,"0,014650005"
67.743.047,53.027.916,6.221.080,2.098.371,445.491,"0,016430392"
62.798.175,47.319.657,5.236.575,2.178.276,395.742,"0,014648133"
63.678.505,47.039.007,5.414.694,2.139.432,412.705,"0,014615653"
62.828.622,46.201.791,5.246.286,2.169.332,395.567,"0,015634435"
64.086.353,48.022.802,5.495.778,2.178.616,395.336,"0,014961672"
64.085.859,47.068.520,5.494.459,2.159.251,393.889,"0,014331412"
67.179.379,48.074.948,6.113.700,2.198.254,409.532,"0,014843765"
62.738.276,46.742.702,5.226.493,2.132.019,416.872,"0,014308462"
image_name:kodim17,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
70.888.819,51.255.360,7.539.620,2.165.695,412.558,"0,015646424"
66.464.696,48.022.871,6.650.749,2.180.869,392.736,"0,014961718"
70.885.197,52.151.043,7.539.015,2.314.603,404.725,"0,015848291"
67.762.005,49.812.856,6.910.645,2.184.366,428.961,"0,015268277"
70.913.642,50.824.407,7.537.443,2.207.401,394.633,"0,015551418"
66.443.430,46.836.359,6.647.188,2.195.194,387.360,"0,013900344"
66.442.183,47.830.399,6.647.509,2.205.237,388.392,"0,014802176"
66.378.175,46.459.248,6.636.869,2.224.772,377.937,"0,013384440"
66.432.364,46.928.606,6.645.771,2.193.546,384.339,"0,013592404"
66.440.946,47.283.646,6.656.841,2.182.688,410.473,"0,013827701"
image_name:kodim18,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
66.455.775,47.043.525,6.649.271,2.193.169,390.140,"0,015078048"
66.462.006,46.756.758,6.650.418,2.222.232,381.006,"0,014276500"
66.442.380,48.539.665,6.647.291,2.203.213,392.633,"0,015212403"
66.478.857,54.712.361,6.662.759,2.209.829,407.089,"0,016422481"
70.698.696,49.897.400,7.499.078,2.204.876,377.892,"0,015895078"
71.600.305,67.317.343,7.655.239,2.231.585,445.500,"0,022980642"
66.389.168,46.368.926,6.634.054,2.209.026,385.656,"0,013880282"
66.355.825,46.462.117,6.627.916,2.213.402,381.934,"0,013998682"
66.412.272,47.365.533,6.636.796,2.208.437,386.560,"0,014494207"
66.434.182,48.289.642,6.645.746,2.195.737,391.345,"0,014750160"
image_name:kodim19,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
70.904.267,50.046.726,7.539.036,2.233.041,392.855,"0,015484499"
70.123.971,49.130.188,7.386.697,2.229.384,389.463,"0,014995522"
70.075.262,48.532.103,7.377.251,2.222.197,387.111,"0,014706009"
70.795.576,48.980.624,7.517.255,2.197.340,389.385,"0,015025014"
70.018.197,49.295.589,7.367.787,2.213.659,385.188,"0,015077784"
66.348.265,45.555.879,6.621.429,2.197.020,384.067,"0,018062306"
66.344.695,48.356.189,6.620.571,2.201.567,410.337,"0,014577018"
66.375.620,46.626.427,6.625.982,2.220.318,379.105,"0,013994702"
70.961.259,50.674.778,7.549.769,2.374.819,410.756,"0,016013903"
66.334.544,47.161.010,6.619.341,2.202.612,402.722,"0,014379197"
image_name:kodim20,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
65.802.476,47.114.875,5.837.479,2.154.847,378.684,"0,014882045"
67.223.240,46.731.207,6.121.723,2.218.869,378.319,"0,014392499"
67.218.435,47.979.476,6.121.209,2.199.575,377.241,"0,014755416"
62.665.354,44.928.075,5.204.401,2.162.751,381.988,"0,013278879"
62.667.103,44.371.238,5.204.794,2.214.517,372.430,"0,012574076"
67.101.273,47.015.625,6.090.893,2.204.521,367.043,"0,013257063"
67.212.774,47.558.345,6.118.843,2.185.245,403.631,"0,015056324"
66.635.040,47.163.138,6.007.719,2.216.453,380.107,"0,014167592"
67.126.670,48.789.203,6.104.298,2.217.692,378.534,"0,014785573"
