image_name:Brain2.pgm,"image_size(width,height):(675, 901)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
1.664.658.177,676.333.613,110.820.914,16.695.653,4.415.111,"0,222233046"
1.673.546.995,681.416.240,112.448.715,15.803.654,4.392.256,"0,193544934"
1.678.972.436,687.261.170,113.522.384,16.442.702,4.419.721,"0,190950964"
1.670.616.217,680.315.660,111.729.288,16.211.101,4.461.227,"0,210411545"
1.671.736.711,685.774.175,112.134.894,16.201.353,4.393.351,"0,189811548"
1.671.654.484,680.976.859,111.950.957,16.279.743,4.453.551,"0,209606958"
1.671.351.973,689.438.630,112.056.678,16.068.588,4.439.782,"0,192010884"
1.671.015.833,687.821.325,112.020.477,15.982.054,4.413.715,"0,190890291"
1.670.055.635,679.756.707,111.635.788,16.033.919,4.425.108,"0,210221499"
1.670.633.957,686.994.833,111.926.484,16.202.292,4.422.171,"0,191427206"
image_name:Uranus.ppm,"image_size(width,height):(1920, 1080)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
414.410.046,237.869.064,34.286.172,9.542.003,2.175.686,"0,063681793"
420.197.132,243.880.422,35.119.397,9.615.556,2.194.870,"0,070768103"
420.499.318,245.142.298,35.179.885,9.531.512,2.200.099,"0,072069848"
419.825.869,242.440.085,35.149.997,9.582.574,2.208.337,"0,070773025"
419.780.331,247.480.682,35.063.659,9.563.820,2.223.355,"0,072942491"
419.669.202,244.409.938,35.116.951,9.512.428,2.203.285,"0,068699456"
419.717.240,245.356.534,35.126.378,9.543.291,2.207.676,"0,069908349"
418.331.935,241.880.110,34.868.227,9.647.103,2.217.947,"0,071482837"
415.124.131,243.020.467,34.392.893,9.514.805,2.177.424,"0,073237288"
413.717.858,237.488.015,34.082.584,9.596.655,2.171.426,"0,071390078"
image_name:airplane.ppm,"image_size(width,height):(512, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
38.846.244,30.485.857,3.533.422,1.448.768,269.268,"0,009936364"
38.805.325,29.768.394,3.527.112,1.493.441,242.798,"0,009625893"
38.785.832,29.191.825,3.524.372,1.516.730,233.021,"0,008898782"
38.780.685,29.498.093,3.523.419,1.526.145,231.253,"0,009140219"
38.827.356,29.373.641,3.532.375,1.516.413,234.334,"0,009177368"
38.885.443,29.805.594,3.542.026,1.532.098,239.126,"0,009546078"
38.833.140,29.512.119,3.531.999,1.501.116,235.522,"0,009408957"
39.187.183,30.179.682,3.611.986,1.525.984,246.187,"0,009464577"
38.824.897,29.764.468,3.537.051,1.537.619,235.578,"0,009250152"
38.820.931,29.455.132,3.531.357,1.514.838,234.885,"0,008940995"
image_name:airplaneU2.pgm,"image_size(width,height):(1024, 1024)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
145.582.405,117.256.387,11.576.817,5.783.447,1.131.944,"0,036059858"
145.600.953,118.989.380,11.579.332,5.769.650,1.133.050,"0,035317456"
145.568.378,116.818.560,11.573.852,5.791.601,1.134.004,"0,034891567"
145.573.517,116.915.656,11.574.364,5.770.964,1.142.301,"0,034887770"
145.570.065,116.008.209,11.573.850,5.818.702,1.136.958,"0,033656088"
146.187.872,117.158.758,11.672.997,5.748.043,1.146.183,"0,034117175"
146.200.205,116.506.998,11.704.506,5.783.794,1.140.729,"0,033762724"
146.597.512,132.144.975,11.759.086,6.554.484,1.547.733,"0,040108466"
149.414.235,259.013.116,12.205.884,7.438.009,3.630.674,"0,103488215"
148.597.344,228.461.360,12.070.176,7.312.082,3.180.704,"0,089268667"
image_name:barbara.ppm,"image_size(width,height):(720, 576)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
91.116.491,44.846.970,9.228.160,582.612,387.492,"0,021080857"
91.089.080,46.731.689,9.225.550,568.674,374.623,"0,013981122"
91.040.098,46.075.213,9.214.426,582.318,384.077,"0,014374105"
91.148.529,45.554.699,9.244.192,598.242,383.998,"0,014842228"
91.620.882,46.856.107,9.334.464,588.301,383.180,"0,014091961"
91.058.031,45.788.016,9.219.059,574.573,375.185,"0,013328449"
91.144.637,45.533.510,9.245.365,562.539,369.035,"0,013927500"
91.020.623,46.134.915,9.211.785,565.782,369.386,"0,013040602"
91.050.155,46.561.603,9.217.571,579.684,377.612,"0,014350862"
91.042.754,46.638.976,9.216.521,580.380,374.331,"0,014098119"
image_name:bone_scint.pgm,"image_size(width,height):(1129, 1865)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
1.211.140.400,432.907.101,69.636.630,7.118.345,2.426.220,"0,140981561"
1.211.712.150,432.207.411,69.743.207,7.134.352,2.419.448,"0,137585830"
1.211.566.792,432.463.698,69.719.132,6.866.960,2.416.666,"0,137672365"
1.210.660.336,436.267.641,69.562.149,7.379.933,2.414.090,"0,139662583"
1.211.041.030,432.344.480,69.622.747,7.194.991,2.404.615,"0,137583229"
1.211.138.315,429.300.308,69.667.148,7.123.489,2.403.905,"0,141648170"
1.211.068.362,434.429.021,69.634.505,7.223.875,2.410.024,"0,137487842"
1.210.808.770,434.415.890,69.612.803,7.013.301,2.398.427,"0,142983840"
1.211.242.399,433.899.078,69.678.986,7.012.444,2.402.487,"0,143225597"
1.211.589.498,429.343.878,69.750.681,7.012.690,2.410.288,"0,142767741"
image_name:brickwall.bmp,"image_size(width,height):(1024, 1024)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
146.379.108,119.728.642,11.731.092,5.828.431,1.157.223,"0,035870848"
146.727.026,120.396.977,11.819.322,5.961.206,1.200.029,"0,035045579"
149.160.201,266.469.111,12.207.271,7.476.813,3.742.070,"0,106395653"
148.296.695,122.245.172,11.993.278,6.162.108,1.212.179,"0,036130496"
147.938.884,142.131.095,11.975.683,6.748.294,1.763.973,"0,048025876"
148.003.212,162.533.336,12.003.916,6.799.490,2.264.377,"0,062145343"
145.653.580,118.848.305,11.600.667,5.865.981,1.166.309,"0,035073634"
148.777.737,129.777.150,12.104.477,6.393.669,1.399.565,"0,037913889"
148.769.384,120.677.197,12.100.868,5.903.088,1.193.575,"0,035622861"
147.686.260,136.117.126,11.928.342,6.512.577,1.584.272,"0,042135670"
image_name:carpet.bmp,"image_size(width,height):(1024, 1024)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
146.095.148,117.420.967,11.672.660,5.831.780,1.164.415,"0,034918117"
149.870.784,271.335.539,12.269.415,7.490.839,3.772.689,"0,109093313"
147.373.686,117.628.806,11.864.355,5.812.982,1.172.848,"0,034389136"
148.541.598,132.083.995,12.113.899,6.624.927,1.614.535,"0,041594171"
147.830.729,118.760.172,11.941.074,5.853.097,1.157.288,"0,035581642"
145.498.615,115.755.939,11.550.151,5.843.878,1.131.689,"0,034238933"
147.978.502,134.755.886,11.962.623,6.599.190,1.540.837,"0,040830551"
145.475.844,115.226.158,11.546.921,5.760.481,1.122.162,"0,034007177"
148.840.686,119.369.072,12.126.756,5.891.875,1.185.164,"0,036011010"
145.515.836,121.559.561,11.552.512,5.751.467,1.156.891,"0,037164666"
image_name:girl.ppm,"image_size(width,height):(720, 576)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
91.174.078,47.951.330,9.248.650,588.490,385.568,"0,015161928"
91.141.370,46.503.935,9.243.353,580.422,375.875,"0,013482558"
91.129.932,46.513.209,9.241.306,579.018,376.702,"0,013232422"
91.133.692,46.368.057,9.242.065,576.238,377.798,"0,013081996"
91.135.476,45.982.671,9.242.029,576.937,379.725,"0,013193557"
91.152.936,45.826.186,9.259.730,566.991,374.097,"0,013650219"
91.115.651,45.941.634,9.243.317,565.611,376.337,"0,014088780"
91.145.323,46.133.604,9.249.425,560.767,374.020,"0,014409363"
91.194.771,46.029.698,9.257.508,563.668,374.238,"0,014129511"
91.135.771,46.167.846,9.247.669,582.064,377.469,"0,013620645"
image_name:lenna.ppm,"image_size(width,height):(512, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
38.809.875,29.798.019,3.527.735,1.482.956,231.431,"0,009662518"
38.900.231,29.329.323,3.544.206,1.502.709,227.933,"0,009167464"
38.841.686,29.281.506,3.533.654,1.447.041,224.849,"0,009114848"
39.028.859,30.471.404,3.581.710,1.628.463,243.016,"0,009974508"
38.793.635,29.481.810,3.525.162,1.558.770,230.341,"0,009348599"
38.835.589,29.276.065,3.542.432,1.532.093,234.304,"0,009145111"
38.836.957,29.750.489,3.542.558,1.702.025,238.676,"0,009513195"
38.842.928,29.465.668,3.543.695,1.554.318,230.657,"0,009387179"
38.896.415,29.507.644,3.551.835,1.674.478,236.979,"0,009271342"
38.883.391,29.410.787,3.550.457,1.533.308,230.581,"0,009471093"
image_name:man.pgm,"image_size(width,height):(1024, 1024)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
146.360.152,117.253.677,11.727.634,5.771.944,1.144.066,"0,035560477"
145.499.717,118.302.238,11.549.133,5.745.806,1.126.960,"0,035451683"
148.667.457,137.201.926,12.116.425,6.924.171,1.869.275,"0,046137976"
146.408.228,119.042.530,11.755.655,5.869.131,1.153.763,"0,034535754"
148.583.327,276.750.222,12.125.588,7.571.114,3.908.142,"0,111221959"
148.273.788,224.694.051,12.069.877,7.067.791,3.155.629,"0,088901955"
148.211.320,277.407.106,12.019.563,7.556.775,3.823.240,"0,112423989"
145.619.277,116.740.417,11.595.615,5.759.096,1.124.871,"0,034762160"
147.556.581,120.978.765,11.910.783,6.156.998,1.244.791,"0,035125974"
148.110.117,266.142.241,11.998.965,7.444.297,3.772.492,"0,107239930"
image_name:monarch.ppm,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
62.769.073,45.074.942,5.232.391,2.148.379,403.984,"0,013660716"
62.853.897,45.319.725,5.254.312,2.214.267,376.380,"0,013915514"
62.743.197,44.838.620,5.232.481,2.176.598,373.926,"0,013690884"
62.729.802,44.844.987,5.220.355,2.199.550,367.958,"0,013676789"
62.851.314,45.466.640,5.252.225,2.193.618,383.059,"0,013742362"
62.756.263,44.766.914,5.230.853,2.205.365,377.634,"0,013429355"
62.818.896,45.148.995,5.246.109,2.205.752,374.890,"0,013698166"
62.811.328,44.789.629,5.239.704,2.207.814,376.492,"0,013616160"
62.824.811,45.535.065,5.242.862,2.188.593,381.499,"0,014418712"
62.754.978,44.674.495,5.230.618,2.051.297,370.268,"0,013841349"
image_name:shoulderCR.pgm,"image_size(width,height):(1162, 684)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
448.334.158,151.142.770,36.133.534,1.346.106,744.526,"0,045937111"
449.001.178,154.619.305,36.295.512,1.331.375,749.622,"0,044732046"
448.685.575,154.426.900,36.213.305,1.335.228,752.187,"0,044843005"
448.430.135,150.553.421,36.177.228,1.346.827,749.129,"0,042861560"
448.414.497,151.349.023,36.174.907,1.349.306,734.734,"0,044783513"
451.614.661,152.774.420,36.702.853,1.427.178,792.236,"0,042998314"
451.222.759,152.754.759,36.623.085,1.352.197,756.255,"0,043419023"
451.203.952,151.875.786,36.621.107,1.362.618,759.886,"0,042504165"
450.859.881,152.560.400,36.563.565,1.385.548,772.049,"0,044303290"
450.719.853,152.547.912,36.540.992,1.553.444,818.163,"0,044022755"
image_name:textureA.bmp,"image_size(width,height):(1024, 1024)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
146.371.866,118.221.728,11.741.567,5.767.444,1.158.521,"0,035475905"
145.692.998,142.761.603,11.594.798,6.693.425,1.873.591,"0,049838388"
145.599.652,115.373.378,11.578.975,5.723.307,1.129.016,"0,033320637"
