image_name:Brain2.pgm,"image_size(width,height):(675, 901)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
1.967.995.288,590.161.460,117.143.883,355.223,180.640,"0,160317923"
1.967.789.630,589.219.530,117.095.425,353.101,174.612,"0,185472578"
image_name:Uranus.ppm,"image_size(width,height):(1920, 1080)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
960.890.264,279.458.395,56.853.142,182.016,88.475,"0,083296268"
960.847.616,279.235.505,56.844.158,181.952,88.243,"0,076966671"
960.907.475,278.460.055,56.856.370,177.777,90.117,"0,076661095"
960.921.139,282.341.951,56.858.736,183.781,90.390,"0,079013526"
960.887.597,278.462.845,56.851.302,180.459,89.905,"0,077535527"
960.942.824,282.440.171,56.859.661,204.633,99.705,"0,080833401"
960.979.376,278.908.334,56.869.350,192.303,89.572,"0,083826018"
960.853.866,278.360.675,56.843.233,180.860,90.556,"0,076267277"
960.908.847,279.603.878,56.850.920,189.400,93.272,"0,086222934"
960.916.416,280.138.780,56.854.670,189.657,88.837,"0,084614664"
image_name:airplane.ppm,"image_size(width,height):(512, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
123.482.823,37.786.041,7.255.364,39.864,16.105,"0,011731420"
123.444.941,39.051.573,7.248.786,42.516,18.262,"0,012169575"
123.500.392,37.979.885,7.257.828,40.199,16.045,"0,012014011"
123.480.606,42.138.009,7.253.856,56.590,18.706,"0,013048993"
123.471.884,37.826.435,7.253.730,40.149,15.928,"0,011742114"
123.447.323,37.738.411,7.248.414,39.875,16.095,"0,011487774"
123.443.492,37.687.931,7.247.574,38.523,14.934,"0,011525224"
123.462.115,37.793.507,7.253.483,40.691,15.561,"0,011541137"
123.463.859,37.810.413,7.253.811,40.703,16.511,"0,011602844"
123.419.709,37.726.803,7.243.040,40.192,15.677,"0,011754785"
image_name:airplaneU2.pgm,"image_size(width,height):(1024, 1024)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
494.081.393,147.437.060,28.781.636,102.080,47.944,"0,045711489"
494.097.674,149.751.317,28.790.072,116.477,47.667,"0,044833328"
494.077.321,147.811.039,28.782.270,110.327,48.028,"0,042978180"
494.086.860,147.016.874,28.786.146,103.453,46.006,"0,042812119"
494.112.536,147.184.040,28.788.896,103.594,47.435,"0,043411412"
494.114.804,147.807.093,28.793.226,101.540,48.220,"0,043034997"
494.076.715,147.530.336,28.786.202,103.863,47.466,"0,040840391"
494.066.232,147.247.281,28.781.581,101.824,46.600,"0,044137565"
494.103.911,150.155.046,28.787.799,115.874,51.916,"0,045745639"
494.048.715,146.766.682,28.777.924,101.436,45.331,"0,041468089"
image_name:barbara.ppm,"image_size(width,height):(720, 576)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
190.763.714,59.516.148,11.422.366,52.883,23.258,"0,017581664"
190.805.878,60.807.052,11.429.047,64.302,24.044,"0,018395933"
190.781.397,59.354.793,11.425.392,52.155,21.864,"0,017174684"
