image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
image_name:kodim9,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
185.213.240,56.415.604,10.845.129,54.367,22.146,"0,016829333"
185.146.185,56.601.152,10.834.845,51.491,23.740,"0,017121200"
185.162.576,56.037.431,10.837.122,52.955,20.380,"0,016911913"
185.134.233,56.138.416,10.831.384,49.379,20.425,"0,017045436"
185.162.795,56.035.765,10.837.871,47.822,21.205,"0,016910832"
185.172.784,56.473.535,10.838.536,53.431,22.446,"0,016959115"
185.162.748,56.107.036,10.837.773,52.166,20.350,"0,016820847"
185.153.940,56.476.239,10.834.846,52.423,23.357,"0,017641203"
185.233.993,56.374.575,10.849.338,56.225,23.282,"0,017090418"
185.116.056,56.188.773,10.828.602,51.797,22.906,"0,016610830"
image_name:kodim10,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
185.225.049,56.546.491,10.847.435,57.318,21.474,"0,021741282"
185.130.943,56.080.536,10.831.764,48.150,19.669,"0,017018218"
185.252.979,57.017.348,10.853.347,66.647,25.962,"0,017644365"
185.151.613,55.860.409,10.836.235,48.371,20.685,"0,016202281"
185.186.497,57.403.041,10.842.293,52.667,23.161,"0,018407972"
185.414.218,56.322.822,10.886.762,51.452,22.744,"0,017219372"
185.173.512,56.046.697,10.839.437,53.248,23.779,"0,016536768"
185.211.378,56.258.462,10.846.278,55.713,23.893,"0,017143491"
185.202.081,55.995.041,10.844.862,51.286,21.337,"0,016731054"
185.153.892,56.559.415,10.837.207,52.600,21.230,"0,017557870"
image_name:kodim11,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.274.540,59.116.357,10.841.049,51.019,21.031,"0,018633213"
199.268.378,59.386.797,10.839.759,52.710,25.094,"0,017710704"
199.242.417,59.042.983,10.835.316,50.162,21.937,"0,016684147"
199.270.706,59.198.136,10.840.661,51.939,21.287,"0,017754283"
199.286.815,59.607.966,10.843.387,53.367,22.206,"0,018051817"
199.236.136,59.480.327,10.834.775,52.700,21.363,"0,017669654"
