video_name,instructions,cycles,branches,cache-referencs,cache-misses
timessquare_short.mp4,18.188.184.424,5.321.294.379,1.425.788.683,23.497.977,4.722.991
traffic_short.mp4,12.492.600.573,3.518.574.034,971.776.076,16.547.371,3.530.420
