image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.276.974,61.541.112,10.842.903,61.970,23.407
199.248.576,59.638.584,10.835.809,54.450,21.275
199.232.862,59.588.861,10.834.388,52.739,22.204
199.258.469,59.182.015,10.837.724,51.740,20.413
199.273.405,59.564.805,10.840.612,54.510,23.973
199.256.497,59.326.939,10.838.915,52.223,20.520
199.279.086,59.565.031,10.840.878,53.425,20.802
199.281.313,59.975.049,10.842.304,57.503,23.551
199.291.668,60.163.954,10.843.963,54.420,21.639
image_name:kodim12,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.235.834,58.624.322,10.835.419,48.843,19.519
199.245.617,59.549.230,10.838.589,55.289,22.104
199.256.317,58.584.013,10.839.945,51.885,21.230
199.207.216,58.540.891,10.830.135,49.629,19.621
199.243.965,58.506.525,10.837.221,50.511,21.574
199.170.644,58.373.411,10.822.875,48.821,20.757
199.210.637,58.463.732,10.829.925,50.125,21.240
199.170.411,58.420.998,10.824.084,49.530,20.358
199.238.277,58.664.804,10.835.609,50.503,21.345
199.219.485,58.597.906,10.832.916,50.117,21.534
image_name:kodim13,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.361.297,69.728.271,10.852.721,73.811,28.479
199.291.948,63.662.851,10.839.448,59.828,26.495
199.320.481,62.022.435,10.844.114,51.481,28.487
199.332.375,66.976.158,10.845.961,62.880,31.517
199.332.596,63.821.179,10.846.302,72.061,28.310
199.314.156,61.775.676,10.842.646,59.244,26.809
199.289.237,61.752.198,10.838.329,54.701,25.104
199.286.044,61.091.629,10.838.022,54.295,25.695
199.254.694,60.958.672,10.832.310,52.716,24.543
199.304.813,62.817.799,10.842.729,63.342,31.423
image_name:kodim14,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.211.233,62.389.444,10.829.324,60.766,21.302
199.242.347,59.838.048,10.834.025,54.006,22.933
199.249.748,61.936.171,10.837.282,60.908,22.859
199.228.569,59.569.175,10.833.626,52.608,22.606
199.291.919,59.920.276,10.844.037,55.333,23.877
199.238.198,59.485.300,10.835.345,51.763,22.616
199.236.683,59.891.993,10.832.358,54.914,22.315
199.276.785,59.536.995,10.840.363,49.644,22.614
199.279.711,59.714.278,10.841.874,52.889,22.881
199.237.707,59.473.696,10.834.228,52.839,24.912
image_name:kodim15,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.331.325,59.613.459,10.851.888,53.195,30.083
199.248.284,58.840.958,10.839.208,52.774,23.972
199.257.587,59.971.965,10.840.100,59.081,24.592
199.293.982,58.930.866,10.845.327,54.170,25.556
199.257.953,58.883.701,10.839.753,53.500,24.464
199.279.795,59.070.035,10.843.538,52.953,24.121
199.278.808,59.463.011,10.842.672,55.920,23.881
199.208.687,59.655.650,10.830.330,58.403,24.682
199.249.514,59.279.718,10.838.016,54.118,21.275
199.265.809,59.021.667,10.840.086,52.954,22.628
image_name:kodim16,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.293.486,58.601.752,10.845.055,54.241,22.941
199.498.808,58.751.733,10.888.901,52.654,20.373
199.204.769,58.758.938,10.830.026,49.145,20.762
199.253.017,58.564.430,10.838.566,51.123,22.077
199.232.630,58.499.229,10.835.344,51.226,20.043
199.173.096,58.540.897,10.824.719,48.685,20.017
199.239.584,58.545.677,10.837.201,51.695,20.431
199.240.600,58.415.371,10.837.108,50.237,20.890
199.217.593,58.575.593,10.834.717,50.403,19.370
199.262.452,58.610.560,10.840.479,53.737,22.253
image_name:kodim17,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses
185.142.247,56.254.148,10.834.043,50.110,19.386
185.109.029,56.463.249,10.827.759,52.338,21.687
185.192.643,56.048.713,10.842.876,51.436,20.122
185.185.090,56.678.513,10.841.667,53.928,20.954
185.135.689,55.910.969,10.833.003,49.509,20.193
185.184.041,55.898.906,10.841.124,51.777,22.008
185.116.145,56.043.800,10.828.437,51.725,21.672
185.161.638,55.983.368,10.836.882,50.159,20.916
185.141.114,56.126.160,10.833.449,51.406,23.127
185.173.286,56.028.252,10.838.928,53.892,20.995
image_name:kodim18,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses
185.142.131,56.676.188,10.832.564,50.445,22.351
185.165.666,56.981.975,10.836.281,54.857,20.267
185.201.228,61.330.163,10.843.617,57.457,24.916
185.152.632,57.021.181,10.835.382,51.612,21.749
185.171.532,56.778.729,10.838.706,50.503,21.431
185.179.124,56.862.878,10.838.355,52.176,22.249
185.157.136,56.848.804,10.835.780,52.577,20.191
185.217.338,56.910.122,10.848.235,51.834,20.576
185.185.806,57.115.763,10.841.517,52.112,20.451
185.183.473,56.614.376,10.841.229,49.862,20.053
image_name:kodim19,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses
185.202.998,57.028.308,10.842.248,51.003,19.834
185.189.796,56.650.367,10.839.710,51.780,21.877
185.188.196,56.639.868,10.838.875,51.319,20.270
185.158.157,56.712.828,10.834.705,50.390,20.517
185.204.975,56.662.484,10.841.101,50.343,19.893
185.165.349,56.633.473,10.835.386,52.191,21.150
185.232.640,56.726.178,10.846.978,50.810,20.158
185.132.257,57.603.575,10.828.757,57.920,23.831
185.185.763,58.997.599,10.840.482,52.660,20.333
185.182.069,56.600.027,10.837.927,50.072,22.183
image_name:kodim20,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.228.300,58.330.450,10.835.353,50.456,22.487
199.286.227,66.305.090,10.844.027,64.932,23.368
199.251.684,58.476.318,10.838.165,51.319,20.463
199.225.603,58.747.425,10.833.170,51.380,21.098
199.222.162,58.342.846,10.832.672,50.296,20.794
199.212.889,58.458.449,10.831.557,48.935,20.066
199.244.160,58.381.883,10.836.061,51.845,21.512
199.219.797,58.345.392,10.832.917,50.982,20.602
199.246.844,58.335.279,10.836.240,50.379,21.848
